Organization Name,Organization Name URL,Category Groups,Headquarters Location,Description,CB Rank (Organization),Founded Date,Operating Status,Closed Date,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Number of Lead Investors,Number of Investors,Acquisition Status,IPO Status,IPO Date,Delisted Date,Valuation at IPO,Money Raised at IPO
Tesla,https://www.crunchbase.com/organization/tesla-motors,"Consumer Electronics, Hardware, Transportation","Palo Alto, California, United States",Tesla Motors accelerates the transition to electric mobility with a full range of increasingly affordable electric cars.,38,"Jan 1, 2003",Active,,For Profit,,,2,2,,,4,10001+,27,IPO,"Feb 2, 2018","$546,000,000",Debt Financing,"$1,700,000,000",Post-IPO Equity,"$6,097,300,000","$12,548,467,530",11,33,Made Acquisitions,Public,"Jun 29, 2010",,,"$226,000,000"
Redfin,https://www.crunchbase.com/organization/redfin,"Internet Services, Real Estate","Seattle, Washington, United States",Redfin provides real estate search and brokerage services through a combination of real estate web platforms and access to live agents.,112,"Oct 1, 2004",Active,,For Profit,,,,,,,3,501-1000,11,IPO,"Jun 1, 2015",,Venture - Series Unknown,,Venture - Series Unknown,"$209,620,000","$209,620,000",9,16,Made Acquisitions,Public,"Jul 28, 2017",,"$1,200,000,000","$138,000,000"
Skype,https://www.crunchbase.com/organization/skype,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Esch-sur-alzette, Luxembourg, Luxembourg",Skype keeps the world talking through video calls and messages.,259,2003,Active,,For Profit,,,3,3,,2,3,1001-5000,5,M&A,"Apr 16, 2010","$7,755,032",Venture - Series Unknown,"$7,755,032",Venture - Series Unknown,"$26,805,032","$76,805,032",3,8,"Made Acquisitions, Was Acquired",Private,,,,
SolarCity,https://www.crunchbase.com/organization/solarcity,"Energy, Natural Resources, Real Estate, Sustainability","San Mateo, California, United States","SolarCity provides solar energy services to homeowners, businesses, government, and non-profit organizations.",678,"Jul 4, 2006",Active,,For Profit,,,1,2,1,,2,10001+,20,M&A,"Sep 12, 2016","$305,000,000",Post-IPO Equity,"$305,000,000",Post-IPO Equity,"$1,558,500,000","$2,111,930,450",15,22,"Made Acquisitions, Was Acquired",Public,"Dec 21, 2012",,"$584,000,000","$92,000,000"
Ping Identity Corporation,https://www.crunchbase.com/organization/ping-identity-corporation,"Financial Services, Government and Military, Information Technology, Privacy and Security","Denver, Colorado, United States",Ping Identity Corporation provides cloud-based identity management software for companies and government organizations.,684,2002,Active,,For Profit,,,,,,,2,251-500,9,M&A,"Sep 18, 2014","$35,000,000",Series G,"$35,000,000",Series G,"$128,346,520","$128,346,520",7,13,"Made Acquisitions, Was Acquired",Private,,,,
Flurry,https://www.crunchbase.com/organization/flurry,"Advertising, Apps, Data and Analytics, Mobile, Sales and Marketing, Software","San Francisco, California, United States",Flurry provides analytics solutions for businesses to monitor the trends and habits of mobile users across multiple mobile applications.,"1,641",2005,Active,,For Profit,,,,,,,3,101-250,8,M&A,"Jul 1, 2014",,Secondary Market,"$12,500,000",Series D,"$63,255,000","$73,255,000",4,10,"Made Acquisitions, Was Acquired",Private,,,,
Twilio,https://www.crunchbase.com/organization/twilio,"Information Technology, Internet Services, Messaging and Telecommunications, Software","San Francisco, California, United States","Twilio is a cloud communication company that enables users to use standard web languages to build voice, VoIP, and SMS apps via a web API.","1,707","Jun 30, 2008",Active,,For Profit,,,3,3,1,,3,501-1000,10,IPO,"Feb 15, 2018","$27,600,000",Corporate Round,,Undisclosed,"$233,700,000","$261,300,000",6,26,Made Acquisitions,Public,"Jun 23, 2016",,"$1,960,000,000","$150,000,000"
Gilt Groupe,https://www.crunchbase.com/organization/gilt-groupe,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","New York, New York, United States",Gilt Groupe is an online shopping website that provides instant insider access to top designer labels.,"1,740",2007,Active,,For Profit,,,,,,,5,1001-5000,7,M&A,"Feb 16, 2015","$50,000,000",Series F,"$50,000,000",Series F,"$271,000,000","$286,000,000",3,12,"Made Acquisitions, Was Acquired",Private,,,,
Movidius,https://www.crunchbase.com/organization/movidius,"Artificial Intelligence, Data and Analytics, Design, Hardware, Mobile, Science and Engineering, Software","San Mateo, California, United States",Movidius is a fabless semiconductor company and the leader in mobile vision processor technology for connected devices.,"2,210",2006,Active,,For Profit,,,,,,,2,51-100,5,M&A,"Apr 14, 2015","$40,000,000",Series E,"$40,000,000",Series E,"$86,500,000","$86,500,000",5,15,Was Acquired,Private,,,,
Good Technology,https://www.crunchbase.com/organization/good-technology,"Data and Analytics, Financial Services, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Software","Sunnyvale, California, United States",Good Technology is a pioneer and world leader in secure mobility solutions for businesses.,"2,494",1996,Active,,For Profit,,,1,1,,1,6,501-1000,14,M&A,"Sep 30, 2014","$80,000,000",Debt Financing,"$66,000,000",Series C,"$476,374,999","$556,374,999",7,17,"Made Acquisitions, Was Acquired",Private,,,,
TrialPay,https://www.crunchbase.com/organization/trialpay,"Advertising, Commerce and Shopping, Financial Services, Internet Services, Payments, Sales and Marketing","Mountain View, California, United States",TrialPay is an offer-based payments platform enabling customers to pay for one item by trying or buying something else.,"2,903","Feb 9, 2006",Active,,For Profit,,,,,,,3,51-100,3,M&A,"Jan 31, 2012","$40,000,000",Series C,"$40,000,000",Series C,"$55,800,000","$55,800,000",1,15,Was Acquired,Private,,,,
Nervana,https://www.crunchbase.com/organization/nervana-systems,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software","San Diego, California, United States",Nervana is building technology to power the next generation of intelligent applications.,"4,041",2014,Active,,For Profit,,,,,,,3,,3,M&A,"Jun 4, 2015","$20,500,000",Series A,"$20,500,000",Series A,"$24,400,000","$24,400,000",2,21,Was Acquired,Private,,,,
ooma,https://www.crunchbase.com/organization/ooma,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Palo Alto, California, United States",Ooma is a consumer telecommunications company that allows its users to make phone calls in the U.S. and Canada with no monthly service fee.,"4,735",2004,Active,,,,,,,,,3,11-50,9,IPO,"May 8, 2015","$5,119,904",Venture - Series Unknown,"$5,119,904",Venture - Series Unknown,"$95,432,819","$98,432,819",2,9,Made Acquisitions,Public,"Jul 24, 2015",,,
isocket,https://www.crunchbase.com/organization/isocket,"Advertising, Sales and Marketing, Software","San Francisco, California, United States",isocket offers a technology platform that is focused on buying and selling fixed price inventory.,"4,806","Aug 1, 2009",Active,,For Profit,,,,,,,1,11-50,5,M&A,"Feb 2, 2018","$8,000,000",Venture - Series Unknown,"$8,000,000",Venture - Series Unknown,"$23,104,119","$23,104,119",2,22,Was Acquired,Private,,,,
